Selection,Opponent,Damage
Ghost,Dragon,1
Ghost,Fairy,1
Ghost,Dark,0.5
Ghost,Normal,0
Steel,Rock,2
Steel,Ice,2
Steel,Fairy,2
Steel,Normal,1
Steel,Fighting,1
Steel,Flying,1
Steel,Poison,1
Steel,Ground,1
Steel,Bug,1
Steel,Ghost,1
Steel,Grass,1
Steel,Psychic,1
Steel,Dragon,1
Steel,Dark,1
Steel,Steel,0.5
Steel,Fire,0.5
Steel,Water,0.5
Steel,Electric,0.5
Fire,Bug,2
Fire,Steel,2
Fire,Grass,2
Fire,Ice,2
Fire,Normal,1
Fire,Fighting,1
Fire,Flying,1
Fire,Poison,1
Fire,Ground,1
Fire,Ghost,1
Fire,Electric,1
Fire,Psychic,1
Fire,Dark,1
Fire,Fairy,1
Fire,Rock,0.5
Fire,Fire,0.5
Fire,Water,0.5
Fire,Dragon,0.5
Water,Ground,2
Water,Rock,2
Water,Fire,2
Water,Normal,1
Water,Fighting,1
Water,Flying,1
Water,Poison,1
Water,Bug,1
Water,Ghost,1
Water,Steel,1
Water,Electric,1
Water,Psychic,1
Water,Ice,1
Water,Dark,1
Water,Fairy,1
Water,Water,0.5
Water,Grass,0.5
Water,Dragon,0.5
Grass,Ground,2
Grass,Rock,2
Grass,Water,2
Grass,Normal,1
Grass,Fighting,1
Grass,Ghost,1
Grass,Electric,1
Grass,Psychic,1
Grass,Ice,1
Grass,Dark,1
Grass,Fairy,1
Grass,Flying,0.5
Grass,Poison,0.5
Grass,Bug,0.5
Grass,Steel,0.5
Grass,Fire,0.5
Grass,Grass,0.5
Grass,Dragon,0.5
Electric,Flying,2
Electric,Water,2
Electric,Normal,1
Electric,Fighting,1
Electric,Poison,1
Electric,Rock,1
Electric,Bug,1
Electric,Ghost,1
Electric,Steel,1
Electric,Fire,1
Electric,Psychic,1
Electric,Ice,1
Electric,Dark,1
Electric,Fairy,1
Electric,Grass,0.5
Electric,Electric,0.5
Electric,Dragon,0.5
Electric,Ground,0
Psychic,Fighting,2
Psychic,Poison,2
Psychic,Normal,1
Psychic,Flying,1
Psychic,Ground,1
Psychic,Rock,1
Psychic,Bug,1
Psychic,Ghost,1
Psychic,Fire,1
Psychic,Water,1
Psychic,Grass,1
Psychic,Electric,1
Psychic,Ice,1
Psychic,Dragon,1
Psychic,Fairy,1
Psychic,Steel,0.5
Psychic,Psychic,0.5
Psychic,Dark,0
Ice,Flying,2
Ice,Ground,2
Ice,Grass,2
Ice,Dragon,2
Ice,Normal,1
Ice,Fighting,1
Ice,Poison,1
Ice,Rock,1
Ice,Bug,1
Ice,Ghost,1
Ice,Electric,1
Ice,Psychic,1
Ice,Dark,1
Ice,Fairy,1
Ice,Steel,0.5
Ice,Fire,0.5
Ice,Water,0.5
Ice,Ice,0.5
Dragon,Dragon,2
Dragon,Normal,1
Dragon,Fighting,1
Dragon,Flying,1
Dragon,Poison,1
Dragon,Ground,1
Dragon,Rock,1
Dragon,Bug,1
Dragon,Ghost,1
Dragon,Fire,1
Dragon,Water,1
Dragon,Grass,1
Dragon,Electric,1
Dragon,Psychic,1
Dragon,Ice,1
Dragon,Dark,1
Dragon,Steel,0.5
Dragon,Fairy,0
Dark,Ghost,2
Dark,Psychic,2
Dark,Normal,1
Dark,Flying,1
Dark,Poison,1
Dark,Ground,1
Dark,Rock,1
Dark,Bug,1
Dark,Steel,1
Dark,Fire,1
Dark,Water,1
Dark,Grass,1
Dark,Electric,1
Dark,Ice,1
Dark,Dragon,1
Dark,Fighting,0.5
Dark,Dark,0.5
Dark,Fairy,0.5
Fairy,Fighting,2
Fairy,Dragon,2
Fairy,Dark,2
Fairy,Normal,1
Fairy,Flying,1
Fairy,Ground,1
Fairy,Rock,1
Fairy,Bug,1
Fairy,Ghost,1
Fairy,Water,1
Fairy,Grass,1
Fairy,Electric,1
Fairy,Psychic,1
Fairy,Ice,1
Fairy,Fairy,1
Fairy,Poison,0.5
Fairy,Steel,0.5
Fairy,Fire,0.5
